N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
2050,100,0.000465116,1067958,90542,57709,1,11.8,18.51
2060,100,0.000462963,1076541,78209,47917,1,13.76,22.47
2070,100,0.000460829,1066958,79375,60708,1,13.44,17.58
2080,100,0.000458716,1082958,78667,49708,1,13.77,21.79
2090,100,0.000456621,1096125,79583,48125,1,13.77,22.78
2100,100,0.000454545,1108166,85042,54542,1,13.03,20.32
2110,100,0.000452489,1093625,81041,48792,1,13.49,22.41
2120,100,0.00045045,1257292,83833,56542,1,15,22.24
2130,100,0.00044843,1130166,81583,49958,1,13.85,22.62
2140,100,0.000446429,1098917,79167,52333,1,13.88,21
2150,100,0.000444444,1120541,84417,50417,1,13.27,22.23
2160,100,0.000442478,1119875,89375,49917,1,12.53,22.43
2170,100,0.000440529,1209125,99667,55875,1,12.13,21.64
2180,100,0.000438596,1134750,80583,55250,1,14.08,20.54
2190,100,0.000436681,1132750,90375,53333,1,12.53,21.24
2200,100,0.000434783,1195542,109125,55833,1,10.96,21.41
2210,100,0.0004329,1205959,155583,59875,1,7.75,20.14
2220,100,0.000431034,1201625,92166,54208,1,13.04,22.17
2230,100,0.000429185,1199250,94291,64125,1,12.72,18.7
2240,100,0.00042735,1150166,89791,53208,1,12.81,21.62
2250,100,0.000425532,1153625,85292,51459,1,13.53,22.42
2260,100,0.000423729,1152250,87958,51666,1,13.1,22.3
2270,100,0.000421941,1163625,87167,54959,1,13.35,21.17
2280,100,0.000420168,1171666,85000,52041,1,13.78,22.51
2290,100,0.00041841,1169333,113750,52000,1,10.28,22.49
2300,100,0.000416667,1172542,84708,52167,1,13.84,22.48
2310,100,0.000414938,1179166,92250,52125,1,12.78,22.62
2320,100,0.000413223,1198875,85542,52833,1,14.02,22.69
2330,100,0.000411523,1267833,104042,57000,1,12.19,22.24
2340,100,0.000409836,1371208,157875,58583,1,8.69,23.41
2350,100,0.000408163,1267959,103875,59333,1,12.21,21.37
2360,100,0.000406504,1322209,110291,59875,1,11.99,22.08
2370,100,0.000404858,1280084,106709,59416,1,12,21.54
2380,100,0.000403226,1271875,100167,58583,1,12.7,21.71
2390,100,0.000401606,1316208,104084,61125,1,12.65,21.53
2400,100,0.0004,1298875,105625,58125,1,12.3,22.35
2410,100,0.000398406,1290833,105958,58042,1,12.18,22.24
2420,100,0.000396825,1294042,100167,59292,1,12.92,21.82
2430,100,0.000395257,1297291,102333,57958,1,12.68,22.38
2440,100,0.000393701,1258625,92584,57083,1,13.59,22.05
2450,100,0.000392157,1315250,107083,57833,1,12.28,22.74
2460,100,0.000390625,1326584,110250,62333,1,12.03,21.28
2470,100,0.000389105,1322459,110708,62041,1,11.95,21.32
2480,100,0.000387597,1286708,100541,58583,1,12.8,21.96
2490,100,0.0003861,1332375,315292,59583,1,4.23,22.36
2500,100,0.000384615,1331833,105583,64459,1,12.61,20.66
2510,100,0.000383142,1352834,107625,64291,1,12.57,21.04
2520,100,0.000381679,1357625,107959,62584,1,12.58,21.69
2530,100,0.000380228,1359000,105500,62375,1,12.88,21.79
2540,100,0.000378788,1368500,216917,62667,1,6.31,21.84
2550,100,0.000377358,1377500,102958,62291,1,13.38,22.11
2560,100,0.00037594,1490375,179375,67917,1,8.31,21.94
2570,100,0.000374532,1483375,110667,67042,1,13.4,22.13
2580,100,0.000373134,1488333,117625,67833,1,12.65,21.94
2590,100,0.000371747,1521875,114417,69291,1,13.3,21.96
2600,100,0.00037037,1511542,135708,67750,1,11.14,22.31
2610,100,0.000369004,1507958,115333,69167,1,13.07,21.8
2620,100,0.000367647,2685458,169375,81125,1,15.86,33.1
2630,100,0.0003663,1831667,147083,76709,1,12.45,23.88
2640,100,0.000364964,1801375,134125,82625,1,13.43,21.8
2650,100,0.000363636,1818875,139834,82166,1,13.01,22.14
2660,100,0.000362319,2030709,174125,95458,1,11.66,21.27
2670,100,0.000361011,1952625,175292,88917,1,11.14,21.96
2680,100,0.000359712,1962417,157959,88834,1,12.42,22.09
2690,100,0.000358423,2005375,149541,105750,1,13.41,18.96
2700,100,0.000357143,2484542,151750,90834,1,16.37,27.35
2710,100,0.000355872,1999625,157083,91125,1,12.73,21.94
2720,100,0.00035461,3995625,169375,91333,1,23.59,43.75
2730,100,0.000353357,2004125,154875,90875,1,12.94,22.05
2740,100,0.000352113,2018083,151584,94625,1,13.31,21.33
2750,100,0.000350877,2318584,155083,91500,1,14.95,25.34
2760,100,0.00034965,2038000,156375,92500,1,13.03,22.03
2770,100,0.000348432,2210000,161833,91750,1,13.66,24.09
2780,100,0.000347222,2133917,163500,92875,1,13.05,22.98
2790,100,0.000346021,2038000,161000,96875,1,12.66,21.04
2800,100,0.000344828,2044917,150833,96250,1,13.56,21.25
2810,100,0.000343643,2096917,189125,96125,1,11.09,21.81
2820,100,0.000342466,2062041,149334,97375,1,13.81,21.18
2830,100,0.000341297,2065333,305083,92792,1,6.77,22.26
2840,100,0.000340136,2205292,183750,101500,1,12,21.73
2850,100,0.000338983,2387042,157000,96250,1,15.2,24.8
2860,100,0.000337838,2087208,154542,105875,1,13.51,19.71
2870,100,0.0003367,2114666,154208,92459,1,13.71,22.87
2880,100,0.00033557,2092125,151292,93083,1,13.83,22.48
2890,100,0.000334448,2102125,153916,93042,1,13.66,22.59
2900,100,0.000333333,2117458,154417,93500,1,13.71,22.65
2910,100,0.000332226,1953375,174750,86875,1,11.18,22.48
2920,100,0.000331126,1958791,141000,86084,1,13.89,22.75
2930,100,0.000330033,2699375,718583,96000,1,3.76,28.12
2940,100,0.000328947,1996334,194542,90250,1,10.26,22.12
2950,100,0.000327869,2171833,210584,102000,1,10.31,21.29
2960,100,0.000326797,2183083,158458,97167,1,13.78,22.47
2970,100,0.000325733,2161375,163292,99416,1,13.24,21.74
2980,100,0.000324675,2169125,158875,96083,1,13.65,22.58
2990,100,0.000323625,2177250,162542,95625,1,13.39,22.77
3000,100,0.000322581,1996875,147583,91291,1,13.53,21.87
3010,100,0.000321543,2004000,149958,90125,1,13.36,22.24
3020,100,0.000320513,1995167,149208,89709,1,13.37,22.24
3030,100,0.000319489,2014292,150208,91583,1,13.41,21.99
3040,100,0.000318471,2017750,149209,90333,1,13.52,22.34
3050,100,0.00031746,2029250,152916,90041,1,13.27,22.54
3060,100,0.000316456,2004416,141084,83708,1,14.21,23.95
3070,100,0.000315457,2083166,141416,85625,1,14.73,24.33
3080,100,0.000314465,1893000,137083,83500,1,13.81,22.67
3090,100,0.00031348,1913167,151542,85875,1,12.62,22.28
3100,100,0.0003125,2084542,159250,93500,1,13.09,22.29
3110,100,0.000311526,1906875,160041,93833,1,11.91,20.32
3120,100,0.000310559,2087250,159000,93541,1,13.13,22.31
3130,100,0.000309598,2194916,171083,94625,1,12.83,23.2
3140,100,0.000308642,2130125,176792,94834,1,12.05,22.46
3150,100,0.000307692,2114000,161083,97166,1,13.12,21.76
3160,100,0.000306748,2098958,154167,93375,1,13.61,22.48
3170,100,0.00030581,2108000,160708,95000,1,13.12,22.19
3180,100,0.000304878,2115375,157875,94459,1,13.4,22.39
3190,100,0.000303951,2123666,156791,93792,1,13.54,22.64
3200,100,0.00030303,2122667,154583,98542,1,13.73,21.54
3210,100,0.000302115,2128375,145833,86333,1,14.59,24.65
3220,100,0.000301205,1985167,167750,86833,1,11.83,22.86
3230,100,0.0003003,1978375,148416,86875,1,13.33,22.77
3240,100,0.000299401,1975958,144083,86667,1,13.71,22.8
3250,100,0.000298507,1999541,158375,93166,1,12.63,21.46
3260,100,0.000297619,2032375,153958,89500,1,13.2,22.71
3270,100,0.000296736,2011458,151917,90291,1,13.24,22.28
3280,100,0.000295858,2009583,148459,88084,1,13.54,22.81
3290,100,0.000294985,2068791,170500,90000,1,12.13,22.99
3300,100,0.000294118,2020625,251750,90334,1,8.03,22.37
3310,100,0.000293255,2055875,189792,91333,1,10.83,22.51
3320,100,0.000292398,2066667,184542,92792,1,11.2,22.27
3330,100,0.000291545,2086041,249250,92500,1,8.37,22.55
3340,100,0.000290698,2091834,196917,93833,1,10.62,22.29
3350,100,0.000289855,2060959,157375,93958,1,13.1,21.93
3360,100,0.000289017,4789084,161916,92875,1,29.58,51.56
3370,100,0.000288184,2056125,164334,90250,1,12.51,22.78
3380,100,0.000287356,2064458,162292,91875,1,12.72,22.47
3390,100,0.000286533,2252583,177208,101083,1,12.71,22.28
3400,100,0.000285714,2094542,155833,93083,1,13.44,22.5
3410,100,0.0002849,2077125,186333,102333,1,11.15,20.3
3420,100,0.000284091,2410041,202167,109250,1,11.92,22.06
3430,100,0.000283286,2435541,205625,105333,1,11.84,23.12
3440,100,0.000282486,2413834,167541,104458,1,14.41,23.11
3450,100,0.00028169,2282084,172750,101709,1,13.21,22.44
3460,100,0.000280899,2325083,176958,103541,1,13.14,22.46
3470,100,0.000280112,2307833,176834,108125,1,13.05,21.34
3480,100,0.00027933,2310167,174041,108625,1,13.27,21.27
3490,100,0.000278552,2308792,178625,113417,1,12.93,20.36
3500,100,0.000277778,2312667,155625,102875,1,14.86,22.48
3510,100,0.000277008,2138750,167959,95000,1,12.73,22.51
3520,100,0.000276243,2115041,155750,95209,1,13.58,22.21
3530,100,0.000275482,2155125,184750,94667,1,11.67,22.77
3540,100,0.000274725,2158250,163917,94375,1,13.17,22.87
3550,100,0.000273973,2162209,165584,95000,1,13.06,22.76
3560,100,0.000273224,2176083,168167,96375,1,12.94,22.58
3570,100,0.00027248,2189916,192584,96875,1,11.37,22.61
3580,100,0.000271739,2043959,164833,91042,1,12.4,22.45
3590,100,0.000271003,2055583,157959,90500,1,13.01,22.71
3600,100,0.00027027,2060709,164875,90625,1,12.5,22.74
3610,100,0.000269542,2056000,160584,90666,1,12.8,22.68
3620,100,0.000268817,2070750,153917,98875,1,13.45,20.94
3630,100,0.000268097,2062709,153292,91041,1,13.46,22.66
3640,100,0.00026738,2087583,252125,94041,1,8.28,22.2
3650,100,0.000266667,2084750,205500,96291,1,10.14,21.65
3660,100,0.000265957,2118709,172625,104041,1,12.27,20.36
3670,100,0.000265252,2243708,204417,100834,1,10.98,22.25
3680,100,0.00026455,2268625,176375,100541,1,12.86,22.56
3690,100,0.000263852,2460625,210917,116958,1,11.67,21.04
3700,100,0.000263158,2440750,186333,108583,1,13.1,22.48
3710,100,0.000262467,2453916,184833,111916,1,13.28,21.93
3720,100,0.00026178,2459417,304125,108625,1,8.09,22.64
3730,100,0.000261097,2275333,167875,103208,1,13.55,22.05
3740,100,0.000260417,2273042,166083,100709,1,13.69,22.57
3750,100,0.00025974,2289875,168834,113375,1,13.56,20.2
3760,100,0.000259067,2305458,190500,101709,1,12.1,22.67
3770,100,0.000258398,2634458,173458,102917,1,15.19,25.6
3780,100,0.000257732,2314125,167000,101917,1,13.86,22.71
3790,100,0.000257069,2344959,181167,111375,1,12.94,21.05
3800,100,0.00025641,2307750,170125,102625,1,13.57,22.49
3810,100,0.000255754,2323834,172041,101291,1,13.51,22.94
3820,100,0.000255102,2324875,216042,102458,1,10.76,22.69
3830,100,0.000254453,2342709,175416,104208,1,13.36,22.48
3840,100,0.000253807,2194916,168291,96875,1,13.04,22.66
3850,100,0.000253165,2199291,163458,96625,1,13.45,22.76
3860,100,0.000252525,2191042,165333,105708,1,13.25,20.73
3870,100,0.000251889,2196042,165083,98125,1,13.3,22.38
3880,100,0.000251256,2223500,168125,97333,1,13.23,22.84
3890,100,0.000250627,2217917,163083,96666,1,13.6,22.94
3900,100,0.00025,2213042,160667,99833,1,13.77,22.17
3910,100,0.000249377,2220625,169625,98708,1,13.09,22.5
3920,100,0.000248756,2229250,164834,98500,1,13.52,22.63
3930,100,0.000248139,2229209,173333,97667,1,12.86,22.82
3940,100,0.000247525,2233834,168917,100000,1,13.22,22.34
3950,100,0.000246914,2076833,154125,91125,1,13.47,22.79
3960,100,0.000246305,2250583,164708,100125,1,13.66,22.48
3970,100,0.0002457,2094250,157958,95584,1,13.26,21.91
3980,100,0.000245098,2112375,169708,92666,1,12.45,22.8
3990,100,0.000244499,2097459,160750,91625,1,13.05,22.89
4000,100,0.000243902,2105791,158000,92958,1,13.33,22.65
4010,100,0.000243309,2330333,339834,101167,1,6.86,23.03
4020,100,0.000242718,2034792,242750,96500,1,8.38,21.09
4030,100,0.000242131,2035125,151375,88250,1,13.44,23.06
4040,100,0.000241546,2031292,152500,96000,1,13.32,21.16
4050,100,0.000240964,2031125,153208,89917,1,13.26,22.59
4060,100,0.000240385,2045000,148875,95209,1,13.74,21.48
4070,100,0.000239808,2053291,156542,96625,1,13.12,21.25
4080,100,0.000239234,2038917,145958,89875,1,13.97,22.69
4090,100,0.000238663,2061125,156083,94375,1,13.21,21.84
4100,100,0.000238095,2179625,155958,103250,1,13.98,21.11
4110,100,0.00023753,2141791,194917,97583,1,10.99,21.95
4120,100,0.000236967,2181208,157167,102125,1,13.88,21.36
4130,100,0.000236407,2239750,172083,93458,1,13.02,23.97
4140,100,0.000235849,2199792,157875,91625,1,13.93,24.01
4150,100,0.000235294,2153625,160166,92583,1,13.45,23.26
4160,100,0.000234742,2156291,162666,102792,1,13.26,20.98
4170,100,0.000234192,2202042,175750,109292,1,12.53,20.15
4180,100,0.000233645,2384833,288250,111084,1,8.27,21.47
4190,100,0.0002331,2386834,200542,106084,1,11.9,22.5
4200,100,0.000232558,2435875,185792,101667,1,13.11,23.96
4210,100,0.000232019,2281209,180625,101792,1,12.63,22.41
4220,100,0.000231481,2197750,192209,94958,1,11.43,23.14
4230,100,0.000230947,2261792,167333,96084,1,13.52,23.54
4240,100,0.000230415,2203667,225250,96542,1,9.78,22.83
4250,100,0.000229885,2214500,168792,95625,1,13.12,23.16
4260,100,0.000229358,2302834,209666,109792,1,10.98,20.97
4270,100,0.000228833,2308042,177584,112167,1,13,20.58
4280,100,0.000228311,2310125,177750,101500,1,13,22.76
4290,100,0.00022779,2372208,195375,100708,1,12.14,23.56
4300,100,0.000227273,2393500,170333,103875,1,14.05,23.04
4310,100,0.000226757,2337834,180209,103333,1,12.97,22.62
4320,100,0.000226244,2935666,232333,109417,1,12.64,26.83
4330,100,0.000225734,2347250,194958,103500,1,12.04,22.68
4340,100,0.000225225,2370291,185000,103208,1,12.81,22.97
4350,100,0.000224719,2398542,176875,102750,1,13.56,23.34
4360,100,0.000224215,2452833,189958,128042,1,12.91,19.16
4370,100,0.000223714,2351333,175000,103166,1,13.44,22.79
4380,100,0.000223214,2369834,201042,105917,1,11.79,22.37
4390,100,0.000222717,2387083,183125,103917,1,13.04,22.97
4400,100,0.000222222,2440167,198042,238958,1,12.32,10.21
4410,100,0.000221729,2376833,175708,102958,1,13.53,23.09
4420,100,0.000221239,2377792,178042,103417,1,13.36,22.99
4430,100,0.000220751,2394417,180375,102834,1,13.27,23.28
4440,100,0.000220264,2394416,180250,101125,1,13.28,23.68
4450,100,0.00021978,2546250,189833,104417,1,13.41,24.39
4460,100,0.000219298,2390916,180208,100250,1,13.27,23.85
4470,100,0.000218818,2345750,176666,99750,1,13.28,23.52
4480,100,0.000218341,2305167,171333,98667,1,13.45,23.36
4490,100,0.000217865,2333125,174125,100000,1,13.4,23.33
4500,100,0.000217391,2334667,166875,99625,1,13.99,23.43
4510,100,0.00021692,2320375,186917,98625,1,12.41,23.53
4520,100,0.00021645,2415375,244291,108708,1,9.89,22.22
4530,100,0.000215983,2697166,222917,110334,1,12.1,24.45
4540,100,0.000215517,2431541,814834,110083,1,2.98,22.09
4550,100,0.000215054,2489958,212334,106584,1,11.73,23.36
