N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
2540,100,0.000378788,1292666,95292,60375,1,13.57,21.41
2550,100,0.000377358,1298708,98958,61875,1,13.12,20.99
2560,100,0.00037594,1327791,110042,61292,1,12.07,21.66
2570,100,0.000374532,1378667,159000,70292,1,8.67,19.61
2580,100,0.000373134,1316000,96958,62583,1,13.57,21.03
2590,100,0.000371747,1321958,109291,64916,1,12.1,20.36
2600,100,0.00037037,1346167,97208,63542,1,13.85,21.19
2610,100,0.000369004,1337333,106417,62667,1,12.57,21.34
2620,100,0.000367647,1357916,102625,62875,1,13.23,21.6
2630,100,0.0003663,1313083,102708,62750,1,12.78,20.93
2640,100,0.000364964,1341709,107542,63208,1,12.48,21.23
2650,100,0.000363636,1328292,107084,62625,1,12.4,21.21
2660,100,0.000362319,1337542,99667,66792,1,13.42,20.03
2670,100,0.000361011,1417209,101125,63583,1,14.01,22.29
2680,100,0.000359712,1373084,123208,63334,1,11.14,21.68
2690,100,0.000358423,1370459,111583,63959,1,12.28,21.43
2700,100,0.000357143,1374417,103041,66417,1,13.34,20.69
2710,100,0.000355872,1381458,102959,65083,1,13.42,21.23
2720,100,0.00035461,1389791,103792,68333,1,13.39,20.34
2730,100,0.000353357,1402625,109584,70333,1,12.8,19.94
2740,100,0.000352113,1389375,114875,63917,1,12.09,21.74
2750,100,0.000350877,1376959,127958,66875,1,10.76,20.59
2760,100,0.00034965,1406458,104375,65500,1,13.48,21.47
2770,100,0.000348432,1385333,118583,64834,1,11.68,21.37
2780,100,0.000347222,1387375,104083,75416,1,13.33,18.4
2790,100,0.000346021,1433083,120375,65541,1,11.91,21.87
2800,100,0.000344828,1423042,114917,65625,1,12.38,21.68
2810,100,0.000343643,1507542,117416,71958,1,12.84,20.95
2820,100,0.000342466,1426500,104625,66625,1,13.63,21.41
2830,100,0.000341297,1518333,119292,76375,1,12.73,19.88
2840,100,0.000340136,1444292,108792,75334,1,13.28,19.17
2850,100,0.000338983,1455708,110792,67833,1,13.14,21.46
2860,100,0.000337838,1453292,107208,68292,1,13.56,21.28
2870,100,0.0003367,1462541,112958,69167,1,12.95,21.15
2880,100,0.00033557,1462709,123833,73500,1,11.81,19.9
2890,100,0.000334448,1466958,106833,70875,1,13.73,20.7
2900,100,0.000333333,1501208,113958,70833,1,13.17,21.19
2910,100,0.000332226,1497041,111875,69416,1,13.38,21.57
2920,100,0.000331126,1490167,111917,69584,1,13.31,21.42
2930,100,0.000330033,1461833,111334,69959,1,13.13,20.9
2940,100,0.000328947,1488750,111458,70334,1,13.36,21.17
2950,100,0.000327869,1500292,115208,73750,1,13.02,20.34
2960,100,0.000326797,1491375,109792,72291,1,13.58,20.63
2970,100,0.000325733,1502250,119917,73292,1,12.53,20.5
2980,100,0.000324675,1506666,111583,70166,1,13.5,21.47
2990,100,0.000323625,1493708,119334,79417,1,12.52,18.81
3000,100,0.000322581,1515917,128166,70875,1,11.83,21.39
3010,100,0.000321543,1527000,116125,71208,1,13.15,21.44
